gene_symbol	entrez_id	method	cell_type	cell_line	cancer_cell	senescence_type	senescence_effect	description	organism
CTNNAL1	8727	"Knockdown"	"Lung cancer, Squamous carcinoma"	"OC2, A549"	"Yes"	"Replicative"	"Inhibits"	"Knockdown of alpha-Catulin (CTNNAL1) in cancer cell lines (OC2 and A549) dramatically decreased cell proliferation and contributed to cellular senescence."	"Knockdown of alpha-Catulin (CTNNAL1) in cancer cell lines (OC2 and A549) dramatically decreased cell proliferation and contributed to cellular senescence."
CXCL1	2919	"Overexpression"	"Ovarian fibroblast"	"Gro-1"	"No"	"Oncogene-induced"	"Promotes"	"Treatment of normal ovarian stromal fibroblasts with Gro-1 (CXCL1) in serum-free medium, lead to induced cellular senescence, with cells becoming enlarged and flattened, showing growth arrest and increased SA-beta-galactosidase activity after 10 days of treatment."	"Treatment of normal ovarian stromal fibroblasts with Gro-1 (CXCL1) in serum-free medium, lead to induced cellular senescence, with cells becoming enlarged and flattened, showing growth arrest and increased SA-beta-galactosidase activity after 10 days of treatment."
CYR61	3491	"Overexpression"	"Lung fibroblast, Foreskin fibroblast"	"BJ, IMR-90"	"No"	"Replicative"	"Promotes"	"By binding to integrins and heparan sulphate proteoglycans, recombinant CCN1 (CYR61) induced fibroblast senescence, resulting in cells displaying enlarged and flattened morphology, increased SA-beta-galactosidase activity, increased expression of p53 and p16 markers and upregulated expression of proinflammatory cytokines and matrix degrading enzymes."	"By binding to integrins and heparan sulphate proteoglycans, recombinant CCN1 (CYR61) induced fibroblast senescence, resulting in cells displaying enlarged and flattened morphology, increased SA-beta-galactosidase activity, increased expression of p53 and p16 markers and upregulated expression of proinflammatory cytokines and matrix degrading enzymes."
DDB2	1643	"Knockout"	"Lung fibroblast"	"IMR-90"	"No"	"Oncogene-induced"	"Promotes"	"DDB2-deficient cells failed to undergo premature senescence induced by Ras oncogenic stress."	"DDB2-deficient cells failed to undergo premature senescence induced by Ras oncogenic stress."
DEK	7913	"Overexpression"	"Foreskin keratinocyte"	"Primary cell"	"No"	"Replicative"	"Inhibits"	"Ectopic expression of DEK extended the cellular lifespan of keratinocytes."	"Ectopic expression of DEK extended the cellular lifespan of keratinocytes."
DGCR8	54487	"Knockdown"	"Lung fibroblast"	"IMR-90"	"No"	"Replicative"	"Inhibits"	"The impact of global disruption of miRNA biogenesis in primary fibroblasts was investigated through the knockdown of DGCR8, an essential mediator of the synthesis of canonical miRNAs. The inactivation of DGCR8 resulted in a dramatic antiproliferative response, with the acquisition of a senescent phenotype. Senescence triggered by DGCR8 loss was accompanied by the upregulation of the cell-cycle inhibitor p21."	"The impact of global disruption of miRNA biogenesis in primary fibroblasts was investigated through the knockdown of DGCR8, an essential mediator of the synthesis of canonical miRNAs. The inactivation of DGCR8 resulted in a dramatic antiproliferative response, with the acquisition of a senescent phenotype. Senescence triggered by DGCR8 loss was accompanied by the upregulation of the cell-cycle inhibitor p21."
DHCR24	1718	"Mutation"	"Lung fibroblast"	"WI-38"	"No"	"Oncogene-induced"	"Promotes"	"RNA interference of Seladin-1 (DHCR24) in human fibroblasts caused cells to bypass Ras-induced senescence, continue to proliferate, exhibit a normal cell morphology, reduce SA-beta-galactosidase activity, and to possess a higher tumorigenic potential."	"RNA interference of Seladin-1 (DHCR24) in human fibroblasts caused cells to bypass Ras-induced senescence, continue to proliferate, exhibit a normal cell morphology, reduce SA-beta-galactosidase activity, and to possess a higher tumorigenic potential."
DHX9	1660	"Knockdown"	"Lung fibroblast"	"MRC-5"	"No"	"Replicative"	"Inhibits"	"Loss of DHX9 in primary human fibroblasts resulted in premature senescence. This was shown by changes in morphology, elevation of SA-beta-galactosidase levels and changes in gene expression closely resembling those encountered during replicative senescence. Activation of the p53 signalling pathway was found to be essential to this process. ChIP analysis and investigation of nascent DNA levels revealed that DHX9 suppression led to a reduction of DNA replication."	"Loss of DHX9 in primary human fibroblasts resulted in premature senescence. This was shown by changes in morphology, elevation of SA-beta-galactosidase levels and changes in gene expression closely resembling those encountered during replicative senescence. Activation of the p53 signalling pathway was found to be essential to this process. ChIP analysis and investigation of nascent DNA levels revealed that DHX9 suppression led to a reduction of DNA replication."
DLX2	1746	"Overexpression"	"Foreskin fibroblast, Lung fibroblast"	"BJ, IMR-90"	"No"	"Replicative"	"Inhibits"	"DLX2 expression led to increased cellular replicative lifespan in foreskin and lung fibroblasts. DLX2 expression reduced the protein components of the TTI1/TTI2/TEL2 complex, a key complex required for the proper folding and stabilization of ATM and other members of the PIKK (phosphatidylinositol 3-kinase-related kinase) kinase family."	"DLX2 expression led to increased cellular replicative lifespan in foreskin and lung fibroblasts. DLX2 expression reduced the protein components of the TTI1/TTI2/TEL2 complex, a key complex required for the proper folding and stabilization of ATM and other members of the PIKK (phosphatidylinositol 3-kinase-related kinase) kinase family."
DPY30	84661	"Knockout"	"Lung fibroblast"	"IMR-90"	"No"	"Replicative"	"Inhibits"	"Following depletion of DPY30, cells showed a severe proliferation defect and displayed a senescent phenotype, including a flattened and enlarged morphology, elevated level of reactive oxygen species (ROS), increased SA-beta-galactosidase activity and formation of SA-heterochromatin foci."	"Following depletion of DPY30, cells showed a severe proliferation defect and displayed a senescent phenotype, including a flattened and enlarged morphology, elevated level of reactive oxygen species (ROS), increased SA-beta-galactosidase activity and formation of SA-heterochromatin foci."
DUSP16	80824	"Knockdown"	"Embryonic kidney, Liver cancer"	"HepG2, PLC/PRF/5, HEK293FT"	"Yes"	"Replicative"	"Inhibits"	"DUSP16 knockdown led to a G1/S transition arrest, reduced incorporation of BrdU, enhanced SA-beta-galactosidase activity and formation of SA-heterochromatin foci."	"DUSP16 knockdown led to a G1/S transition arrest, reduced incorporation of BrdU, enhanced SA-beta-galactosidase activity and formation of SA-heterochromatin foci."
DUSP3	1845	"Knockdown"	"Cervical cancer"	"HeLa"	"Yes"	"Replicative"	"Inhibits"	"RNA interference of VHR (DUSP3) lead to cell arrest at the G1-S and G2-M transitions. Cells displayed signs of cellular senescence, such as flattening, spreading, appearance of autophagosomes, SA-beta-galactosidase staining and decreased telomerase activity, as well as upregulation of p21 and downregulation of genes for cell-cycle regulators, DNA replication, transcription and mRNA processing."	"RNA interference of VHR (DUSP3) lead to cell arrest at the G1-S and G2-M transitions. Cells displayed signs of cellular senescence, such as flattening, spreading, appearance of autophagosomes, SA-beta-galactosidase staining and decreased telomerase activity, as well as upregulation of p21 and downregulation of genes for cell-cycle regulators, DNA replication, transcription and mRNA processing."
E2F1	1869	"Overexpression"	"Lung fibroblast"	"WI-38"	"No"	"Replicative"	"Promotes"	"Constitutive expression of E2F1 in normal human fibroblasts arrested cell proliferation and induced a senescent phenotype, including flat morphology, increased SA-beta-galactosidase activity and increased expression of several markers of replicative senescence."	"Constitutive expression of E2F1 in normal human fibroblasts arrested cell proliferation and induced a senescent phenotype, including flat morphology, increased SA-beta-galactosidase activity and increased expression of several markers of replicative senescence."
EHF	26298	"Overexpression"	"Lung fibroblast"	"WI-38"	"No"	"Replicative"	"Promotes"	"Ectopic expression of ESE-3 (EHF) resulted in reduced growth, up-regulation of senescence associated p16 (but not p21) and increased SA-beta-galactosidase activity."	"Ectopic expression of ESE-3 (EHF) resulted in reduced growth, up-regulation of senescence associated p16 (but not p21) and increased SA-beta-galactosidase activity."
ENDOG	2021	"Knockdown"	"Endothelial"	"Primary cell"	"No"	"Replicative"	"Inhibits"	"Knockdown of ENDOG in both early passage and late passage cells induced premature senescence, displaying a significant delay in cell proliferation and an increase in SA-beta-galactosidase activity."	"Knockdown of ENDOG in both early passage and late passage cells induced premature senescence, displaying a significant delay in cell proliferation and an increase in SA-beta-galactosidase activity."
EPHA3	2042	"Knockdown"	"Retinal pigment epithelial, Embryonic kidney"	"hTERT-RPE1, HEK293T"	"Yes"	"Replicative"	"Inhibits"	"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including EPHA3) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16 expression."	"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including EPHA3) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16 expression."
ERRFI1	54206	"Overexpression"	"Lung fibroblast"	"WI-38"	"No"	"Replicative"	"Promotes"	"The mechanism of Mig-6 (ERRFI1) induced premature cell senescence was investigated. Endogenous Mig-6 was poorly expressed in young fibroblasts, whilst its expression increased in cells presenting with typical features of senescence. Overexpression of Mig-6 was sufficient to trigger premature cellular senescence of early passage diploid lung fibroblasts (WI-38). Mig-6 overexpression reduced retinoblastoma protein (Rb1) phosphorylation at the inactivating Ser249/Thr252 sites."	"The mechanism of Mig-6 (ERRFI1) induced premature cell senescence was investigated. Endogenous Mig-6 was poorly expressed in young fibroblasts, whilst its expression increased in cells presenting with typical features of senescence. Overexpression of Mig-6 was sufficient to trigger premature cellular senescence of early passage diploid lung fibroblasts (WI-38). Mig-6 overexpression reduced retinoblastoma protein (Rb1) phosphorylation at the inactivating Ser249/Thr252 sites."
ETS1	2113	"Overexpression"	"Lung fibroblast, Foreskin fibroblast"	"TIG-3, Hs68"	"No"	"Oncogene-induced"	"Promotes"	"Overexpression of ETS1 leads to an accelerated oncogene-induced senescence, with increased levels of p16 and increased SA-beta-galactosidase activity."	"Overexpression of ETS1 leads to an accelerated oncogene-induced senescence, with increased levels of p16 and increased SA-beta-galactosidase activity."
